"AdhésionDébut","n","cum"
2021-01-29,1,1
2021-02-13,1,2
2021-02-22,2,4
2021-03-01,1,5
2021-03-15,1,6
2021-03-18,1,7
2021-04-02,1,8
2021-04-04,1,9
2021-04-05,2,11
2021-04-06,1,12
2021-04-15,1,13
2021-08-29,1,14
2021-11-22,1,15
2022-01-26,1,16
2022-02-27,1,17
2022-03-19,1,18
2022-03-22,1,19
2022-03-23,1,20
2022-04-01,1,21
2022-04-12,1,22
2022-04-17,1,23
2022-06-19,1,24
2022-07-09,2,26
2022-07-19,1,27
2022-07-20,3,30
2022-08-31,1,31
2022-10-11,1,32
2023-03-22,1,33
2023-05-19,2,35
2023-06-30,1,36
2023-07-04,1,37
2023-07-07,1,38
2023-07-09,2,40
2023-07-26,1,41
2023-08-11,1,42
2023-08-14,1,43
2023-08-16,1,44
2023-09-02,3,47
2023-09-03,1,48
2023-09-11,1,49
2023-10-21,1,50
2023-10-31,1,51
2023-11-04,1,52
2023-12-03,1,53
2023-12-17,1,54
2024-01-03,1,55
2024-01-21,1,56
2024-01-23,1,57
2024-02-04,1,58
2024-02-12,1,59
2024-02-14,1,60
2024-03-10,1,61
2024-04-03,4,65
2024-04-09,1,66
2024-05-24,1,67
2024-05-29,1,68
2024-06-22,1,69
2024-06-27,1,70
2024-07-17,1,71
2024-07-19,1,72
2024-07-22,1,73
2024-07-29,1,74
2024-08-08,1,75
2024-08-11,1,76
2024-08-12,1,77
2024-08-13,1,78
2024-08-15,1,79
2024-08-25,1,80
2024-08-27,1,81
2024-08-31,1,82
2024-09-06,1,83
2024-09-17,1,84
2024-09-25,1,85
2024-10-09,1,86
2024-10-14,1,87
2024-10-16,1,88
2024-10-18,1,89
2024-10-21,1,90
2024-10-23,1,91
2024-10-24,4,95
2024-10-25,2,97
2024-10-26,9,106
2024-10-27,1,107
2024-10-29,6,113
2024-10-31,1,114
2024-11-02,3,117
2024-11-03,5,122
2024-11-04,1,123
2024-11-05,5,128
2024-11-06,3,131
2024-11-07,39,170
2024-11-08,30,200
2024-11-09,2,202
2024-11-19,1,203
2024-12-18,1,204
2024-12-28,1,205
2025-01-05,1,206
2025-01-16,1,207
2025-01-17,1,208
2025-01-22,1,209
2025-01-24,1,210
2025-01-25,1,211
2025-02-01,2,213
2025-02-02,2,215
2025-02-05,2,217
2025-02-17,1,218
2025-02-18,2,220
2025-02-19,1,221
2025-02-28,1,222
2025-03-01,1,223
2025-03-13,1,224
,1,225
